<02:19:36.024>Start FDBS 
<02:19:36.325>FDBS; opened connection to oralv8a 
<02:19:37.569>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1, 'Sanama', 'Juergen', 'GB') 
<02:20:24.230>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1537, 'Paulheim', 'Eberhard', 'D') 
<02:20:24.230>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1537, 'Paulheim', 'Eberhard', 'D') 
<02:20:24.245>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1538, 'Reinel', 'Aymen', 'TUN') 
<02:20:24.261>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1538, 'Reinel', 'Aymen', 'TUN') 
<02:20:24.277>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1539, 'Fessi', 'Patrik', 'TUN') 
<02:20:24.277>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1539, 'Fessi', 'Patrik', 'TUN') 
<02:20:24.306>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1540, 'Collins', 'Erdem', 'CHN') 
<02:20:24.306>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1540, 'Collins', 'Erdem', 'CHN') 
<02:20:24.337>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1541, 'Wald', 'Alexandre', 'TUN') 
<02:20:24.337>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1541, 'Wald', 'Alexandre', 'TUN') 
<02:20:24.373>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1542, 'Sanama', 'Aymen', 'F') 
<02:20:24.373>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1542, 'Sanama', 'Aymen', 'F') 
<02:20:24.404>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1543, 'Militz', 'Markus', 'CMR') 
<02:20:24.404>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1543, 'Militz', 'Markus', 'CMR') 
<02:20:24.435>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1544, 'Helmke', 'Elton', 'CHN') 
<02:20:24.435>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1544, 'Helmke', 'Elton', 'CHN') 
<02:20:24.467>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1545, 'Turner', 'Gianna', 'ID') 
<02:20:24.467>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1545, 'Turner', 'Gianna', 'ID') 
<02:20:24.498>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1546, 'Bayer', 'Martin', 'USA') 
<02:20:24.498>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1546, 'Bayer', 'Martin', 'USA') 
<02:20:24.529>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1547, 'Sprenger', 'Benedikt', 'TUN') 
<02:20:24.529>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1547, 'Sprenger', 'Benedikt', 'TUN') 
<02:20:24.545>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1548, 'Mahr', 'Mario', 'D') 
<02:20:24.545>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1548, 'Mahr', 'Mario', 'D') 
<02:20:24.576>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1549, 'Scholz', 'Sarah', 'ID') 
<02:20:24.576>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1549, 'Scholz', 'Sarah', 'ID') 
<02:20:24.607>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1550, 'Gueclue', 'Bastian', 'F') 
<02:20:24.607>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1550, 'Gueclue', 'Bastian', 'F') 
<02:20:24.639>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1551, 'Hennecke', 'Florian', 'F') 
<02:20:24.639>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1551, 'Hennecke', 'Florian', 'F') 
<02:20:24.670>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1552, 'Englert', 'Patricia', 'I') 
<02:20:24.670>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1552, 'Englert', 'Patricia', 'I') 
<02:20:24.701>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1553, 'Nguentcheng', 'Sascha', 'TUN') 
<02:20:24.701>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1553, 'Nguentcheng', 'Sascha', 'TUN') 
<02:20:24.732>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1554, 'Meatloaf', 'Bjoern', 'CMR') 
<02:20:24.732>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1554, 'Meatloaf', 'Bjoern', 'CMR') 
<02:20:24.764>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1555, 'Collins', 'Susi', 'GB') 
<02:20:24.764>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1555, 'Collins', 'Susi', 'GB') 
<02:20:24.795>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1556, 'Kouada', 'Gianna', 'USA') 
<02:20:24.795>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1556, 'Kouada', 'Gianna', 'USA') 
<02:20:24.811>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1557, 'Bush', 'Matthias', 'TUN') 
<02:20:24.811>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1557, 'Bush', 'Matthias', 'TUN') 
<02:20:24.842>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1558, 'Bailleu', 'Bjoern', 'GB') 
<02:20:24.842>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1558, 'Bailleu', 'Bjoern', 'GB') 
<02:20:24.873>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1559, 'Fessi', 'Rudi', 'D') 
<02:20:24.873>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1559, 'Fessi', 'Rudi', 'D') 
<02:20:24.904>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1560, 'Saseno', 'Elton', 'ID') 
<02:20:24.904>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1560, 'Saseno', 'Elton', 'ID') 
<02:20:24.935>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1561, 'Lamps', 'Simon', 'F') 
<02:20:24.935>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1561, 'Lamps', 'Simon', 'F') 
<02:20:24.951>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1562, 'Hesse', 'Benedikt', 'CMR') 
<02:20:24.967>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1562, 'Hesse', 'Benedikt', 'CMR') 
<02:20:24.982>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1563, 'Gannouni', 'Pascal', 'F') 
<02:20:24.982>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1563, 'Gannouni', 'Pascal', 'F') 
<02:20:25.015>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1564, 'Gannouni', 'Nico', 'F') 
<02:20:25.015>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1564, 'Gannouni', 'Nico', 'F') 
<02:20:25.046>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1565, 'Miosga', 'Patrik', 'D') 
<02:20:25.046>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1565, 'Miosga', 'Patrik', 'D') 
<02:20:25.078>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1566, 'Kouada', 'null', 'TUN') 
<02:20:25.078>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1566, 'Kouada', 'null', 'TUN') 
<02:20:25.093>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1567, 'Hesse', 'Aymen', 'I') 
<02:20:25.109>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1567, 'Hesse', 'Aymen', 'I') 
<02:20:25.125>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1568, 'Turner', 'Rene', 'ID') 
<02:20:25.125>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1568, 'Turner', 'Rene', 'ID') 
<02:20:25.156>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1569, 'Ramazotti', 'Markus', 'D') 
<02:20:25.156>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1569, 'Ramazotti', 'Markus', 'D') 
<02:20:25.195>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1570, 'Klomann', 'Benedikt', 'CHN') 
<02:20:25.195>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1570, 'Klomann', 'Benedikt', 'CHN') 
<02:20:25.226>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1571, 'Horn', 'Jan', 'USA') 
<02:20:25.226>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1571, 'Horn', 'Jan', 'USA') 
<02:20:25.246>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1572, 'Hesse', 'Simon', 'GB') 
<02:20:25.246>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1572, 'Hesse', 'Simon', 'GB') 
<02:20:25.281>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1573, 'Wald', 'Erdem', 'ID') 
<02:20:25.281>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1573, 'Wald', 'Erdem', 'ID') 
<02:20:25.296>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1574, 'John', 'Kate', 'USA') 
<02:20:25.296>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1574, 'John', 'Kate', 'USA') 
<02:20:25.328>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1575, 'Fessi', 'Keith', 'I') 
<02:20:25.328>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1575, 'Fessi', 'Keith', 'I') 
<02:20:25.369>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1576, 'Sprenger', 'Ilkem', 'CHN') 
<02:20:25.370>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1576, 'Sprenger', 'Ilkem', 'CHN') 
<02:20:25.394>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1577, 'Nannini', 'Rene', 'USA') 
<02:20:25.394>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1577, 'Nannini', 'Rene', 'USA') 
<02:20:25.425>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1578, 'Militz', 'Stefan', 'D') 
<02:20:25.425>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1578, 'Militz', 'Stefan', 'D') 
<02:20:25.456>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1579, 'Gueclue', 'Stefan', 'ID') 
<02:20:25.456>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1579, 'Gueclue', 'Stefan', 'ID') 
<02:20:25.488>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1580, 'Fessi', 'Patricia', 'D') 
<02:20:25.488>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1580, 'Fessi', 'Patricia', 'D') 
<02:20:25.503>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1581, 'Harasty', 'Annie', 'F') 
<02:20:25.519>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1581, 'Harasty', 'Annie', 'F') 
<02:20:25.534>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1582, 'Bailleu', 'Gerhard', 'CHN') 
<02:20:25.534>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1582, 'Bailleu', 'Gerhard', 'CHN') 
<02:20:25.566>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1583, 'Ksaier', 'Annika', 'ID') 
<02:20:25.566>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1583, 'Ksaier', 'Annika', 'ID') 
<02:20:25.597>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1584, 'Kaas', 'Florian', 'D') 
<02:20:25.597>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1584, 'Kaas', 'Florian', 'D') 
<02:20:25.644>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1585, 'Hesse', 'Benedikt', 'ID') 
<02:20:25.644>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1585, 'Hesse', 'Benedikt', 'ID') 
<02:20:25.675>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1586, 'Sprenger', 'Erdem', 'GB') 
<02:20:25.675>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1586, 'Sprenger', 'Erdem', 'GB') 
<02:20:25.706>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1587, 'Mercury', 'Peter', 'D') 
<02:20:25.706>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1587, 'Mercury', 'Peter', 'D') 
<02:20:25.738>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1588, 'Jagger', 'Holger', 'F') 
<02:20:25.738>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1588, 'Jagger', 'Holger', 'F') 
<02:20:25.769>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1589, 'Schaefer', 'Mario', 'ID') 
<02:20:25.769>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1589, 'Schaefer', 'Mario', 'ID') 
<02:20:25.800>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1590, 'Gabriel', 'Simon', 'USA') 
<02:20:25.800>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1590, 'Gabriel', 'Simon', 'USA') 
<02:20:25.816>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1591, 'Klomann', 'Tao', 'D') 
<02:20:25.816>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1591, 'Klomann', 'Tao', 'D') 
<02:20:25.863>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1592, 'Schmitt', 'Annika', 'CMR') 
<02:20:25.863>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1592, 'Schmitt', 'Annika', 'CMR') 
<02:20:25.878>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1593, 'Niedeggen', 'null', 'CHN') 
<02:20:25.878>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1593, 'Niedeggen', 'null', 'CHN') 
<02:20:25.909>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1594, 'Bailleu', 'null', 'CHN') 
<02:20:25.909>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1594, 'Bailleu', 'null', 'CHN') 
<02:20:25.941>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1595, 'Paulheim', 'Phil', 'CMR') 
<02:20:25.941>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1595, 'Paulheim', 'Phil', 'CMR') 
<02:20:25.972>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1596, 'Meuer', 'Sinan', 'CMR') 
<02:20:25.972>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1596, 'Meuer', 'Sinan', 'CMR') 
<02:20:26.003>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1597, 'Scholz', 'Anreas', 'USA') 
<02:20:26.003>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1597, 'Scholz', 'Anreas', 'USA') 
<02:20:26.035>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1598, 'Klomann', 'Markus', 'CHN') 
<02:20:26.035>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1598, 'Klomann', 'Markus', 'CHN') 
<02:20:26.066>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1599, 'Nguentcheng', 'Eberhard', 'CMR') 
<02:20:26.066>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1599, 'Nguentcheng', 'Eberhard', 'CMR') 
<02:20:26.097>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1600, 'Heinz', 'Sebastian', 'CMR') 
<02:20:26.097>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1600, 'Heinz', 'Sebastian', 'CMR') 
<02:20:26.128>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1601, 'Lennox', 'Rudi', 'GB') 
<02:20:26.128>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1601, 'Lennox', 'Rudi', 'GB') 
<02:20:26.161>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1602, 'Tobert', 'Kai', 'I') 
<02:20:26.161>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1602, 'Tobert', 'Kai', 'I') 
<02:20:26.189>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1603, 'Turner', 'Martin', 'CHN') 
<02:20:26.189>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1603, 'Turner', 'Martin', 'CHN') 
<02:20:26.214>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1604, 'Hahn', 'Eros', 'TUN') 
<02:20:26.214>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1604, 'Hahn', 'Eros', 'TUN') 
<02:20:26.245>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1605, 'Niedeggen', 'Lukas', 'CHN') 
<02:20:26.245>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1605, 'Niedeggen', 'Lukas', 'CHN') 
<02:20:26.275>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1606, 'Bailleu', 'Franz', 'GB') 
<02:20:26.275>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1606, 'Bailleu', 'Franz', 'GB') 
<02:20:26.291>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1607, 'Lamps', 'Pascal', 'GB') 
<02:20:26.291>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1607, 'Lamps', 'Pascal', 'GB') 
<02:20:26.323>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1608, 'Knabe', 'Nejib', 'TUN') 
<02:20:26.323>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1608, 'Knabe', 'Nejib', 'TUN') 
<02:20:26.354>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1609, 'Turner', 'Phil', 'TUN') 
<02:20:26.354>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1609, 'Turner', 'Phil', 'TUN') 
<02:20:26.389>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1610, 'Jagger', 'Sebastian', 'CMR') 
<02:20:26.389>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1610, 'Jagger', 'Sebastian', 'CMR') 
<02:20:26.421>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1611, 'Militz', 'Jan', 'USA') 
<02:20:26.421>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1611, 'Militz', 'Jan', 'USA') 
<02:20:26.452>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1612, 'Nguentcheng', 'Kai', 'CMR') 
<02:20:26.452>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1612, 'Nguentcheng', 'Kai', 'CMR') 
<02:20:26.467>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1613, 'Lennox', 'Guildo', 'USA') 
<02:20:26.483>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1613, 'Lennox', 'Guildo', 'USA') 
<02:20:26.499>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1614, 'Dehler', 'Michael', 'ID') 
<02:20:26.499>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1614, 'Dehler', 'Michael', 'ID') 
<02:20:26.530>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1615, 'Jagger', 'Elton', 'I') 
<02:20:26.530>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1615, 'Jagger', 'Elton', 'I') 
<02:20:26.561>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1616, 'Klomann', 'Phil', 'D') 
<02:20:26.561>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1616, 'Klomann', 'Phil', 'D') 
<02:20:26.592>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1617, 'Turner', 'Sinan', 'CHN') 
<02:20:26.592>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1617, 'Turner', 'Sinan', 'CHN') 
<02:20:26.624>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1618, 'Hahn', 'Keith', 'D') 
<02:20:26.624>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1618, 'Hahn', 'Keith', 'D') 
<02:20:26.655>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1619, 'Lied', 'Elton', 'F') 
<02:20:26.655>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1619, 'Lied', 'Elton', 'F') 
<02:20:26.686>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1620, 'Militz', 'Simon', 'D') 
<02:20:26.686>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1620, 'Militz', 'Simon', 'D') 
<02:20:26.702>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1621, 'Bush', 'Franz', 'USA') 
<02:20:26.702>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1621, 'Bush', 'Franz', 'USA') 
<02:20:26.733>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1622, 'Mueller', 'Mario', 'ID') 
<02:20:26.733>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1622, 'Mueller', 'Mario', 'ID') 
<02:20:26.764>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1623, 'Bostanci', 'Sinan', 'GB') 
<02:20:26.764>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1623, 'Bostanci', 'Sinan', 'GB') 
<02:20:26.796>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1624, 'Horn', 'Sinan', 'USA') 
<02:20:26.796>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1624, 'Horn', 'Sinan', 'USA') 
<02:20:26.827>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1625, 'Knabe', 'Stefan', 'GB') 
<02:20:26.827>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1625, 'Knabe', 'Stefan', 'GB') 
<02:20:26.858>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1626, 'Knabe', 'Gaspard', 'I') 
<02:20:26.858>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1626, 'Knabe', 'Gaspard', 'I') 
<02:20:26.889>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1627, 'Lennox', 'Stefan', 'TUN') 
<02:20:26.889>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1627, 'Lennox', 'Stefan', 'TUN') 
<02:20:26.921>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1628, 'Horn', 'Lukas', 'D') 
<02:20:26.936>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1628, 'Horn', 'Lukas', 'D') 
<02:20:26.967>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1629, 'Burhenne', 'Andre', 'D') 
<02:20:26.967>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1629, 'Burhenne', 'Andre', 'D') 
<02:20:26.983>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1630, 'Nannini', 'Annika', 'USA') 
<02:20:26.983>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1630, 'Nannini', 'Annika', 'USA') 
<02:20:27.016>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1631, 'Lamps', 'Mario', 'CMR') 
<02:20:27.016>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1631, 'Lamps', 'Mario', 'CMR') 
<02:20:27.048>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1632, 'Klomann', 'Florian', 'ID') 
<02:20:27.048>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1632, 'Klomann', 'Florian', 'ID') 
<02:20:27.079>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1633, 'Bailleu', 'Nejib', 'F') 
<02:20:27.079>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1633, 'Bailleu', 'Nejib', 'F') 
<02:20:27.110>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1634, 'Helmke', 'Kai', 'USA') 
<02:20:27.110>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1634, 'Helmke', 'Kai', 'USA') 
<02:20:27.142>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1635, 'Klomann', 'Ilkem', 'USA') 
<02:20:27.142>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1635, 'Klomann', 'Ilkem', 'USA') 
<02:20:27.173>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1636, 'Lamps', 'Erdem', 'TUN') 
<02:20:27.173>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1636, 'Lamps', 'Erdem', 'TUN') 
<02:20:27.197>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1637, 'Paulheim', 'Elton', 'F') 
<02:20:27.197>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1637, 'Paulheim', 'Elton', 'F') 
<02:20:27.231>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1638, 'Fessi', 'Juergen', 'F') 
<02:20:27.231>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1638, 'Fessi', 'Juergen', 'F') 
<02:20:27.246>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1639, 'Scholz', 'Bastian', 'CHN') 
<02:20:27.246>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1639, 'Scholz', 'Bastian', 'CHN') 
<02:20:27.282>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1640, 'Wald', 'null', 'TUN') 
<02:20:27.282>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1640, 'Wald', 'null', 'TUN') 
<02:20:27.313>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1641, 'Tobert', 'Aymen', 'CHN') 
<02:20:27.313>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1641, 'Tobert', 'Aymen', 'CHN') 
<02:20:27.329>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1642, 'Knabe', 'Simon', 'CMR') 
<02:20:27.344>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1642, 'Knabe', 'Simon', 'CMR') 
<02:20:27.371>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1643, 'Hahn', 'Phil', 'CHN') 
<02:20:27.372>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1643, 'Hahn', 'Phil', 'CHN') 
<02:20:27.396>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1644, 'Horn', 'Anreas', 'F') 
<02:20:27.396>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1644, 'Horn', 'Anreas', 'F') 
<02:20:27.427>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1645, 'Lied', 'Sebastian', 'F') 
<02:20:27.427>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1645, 'Lied', 'Sebastian', 'F') 
<02:20:27.443>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1646, 'Schmitt', 'Ilkem', 'TUN') 
<02:20:27.443>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1646, 'Schmitt', 'Ilkem', 'TUN') 
<02:20:27.474>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1647, 'Schmitt', 'Christian', 'CHN') 
<02:20:27.474>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1647, 'Schmitt', 'Christian', 'CHN') 
<02:20:27.505>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1648, 'Schaefer', 'Erdem', 'CHN') 
<02:20:27.505>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1648, 'Schaefer', 'Erdem', 'CHN') 
